"Domain","Country","Revenue","Page View","Page View RPM","IMP","IMP RPM","Click","Ad Request","Matched Rate","CTR","CPC","Page View CTR","Matched  Request"
"rblxgo132.freecase24.com","United States","$0.08","524","$0.15","43","$1.86","6","519","45.28%","13.95%","$0.01","1.15%","168"
"rblxgo132.freecase24.com","Portugal","$0.02","52","$0.38","44","$0.45","1","93","63.64%","2.27%","$0.02","1.92%","69"
"rblxgo132.freecase24.com","Germany","$0.02","5","$4.00","8","$2.50","0","12","100.00%","0.00%","$0.00","0.00%","12"
"rblxgo132.freecase24.com","Netherlands","$0.01","16","$0.63","15","$0.67","0","31","50.00%","0.00%","$0.00","0.00%","21"
"rblxgo132.freecase24.com","Lithuania","$0.01","4","$2.50","7","$1.43","0","12","100.00%","0.00%","$0.00","0.00%","12"
"rblxgo132.freecase24.com","Brazil","$0.01","298","$0.03","13","$0.77","4","281","8.73%","30.77%","$0.00","1.34%","17"
"rblxgo132.freecase24.com","Bulgaria","$0.01","28","$0.36","27","$0.37","2","49","75.00%","7.41%","$0.01","7.14%","40"
"rblxgo132.freecase24.com","Trinidad &amp; Tobago","$0.00","2","$0.00","0","$0.00","0","1","0.00%","0.00%","$0.00","0.00%","0"
"rblxgo132.freecase24.com","North Macedonia","$0.00","3","$0.00","0","$0.00","0","1","0.00%","0.00%","$0.00","0.00%","0"
"rblxgo132.freecase24.com","Guinea","$0.00","18","$0.00","0","$0.00","0","22","0.00%","0.00%","$0.00","0.00%","0"
"rblxgo132.freecase24.com","Bolivia","$0.00","1","$0.00","0","$0.00","0","1","0.00%","0.00%","$0.00","0.00%","0"
"rblxgo132.freecase24.com","Libya","$0.00","28","$0.00","1","$0.00","0","48","1.66%","0.00%","$0.00","0.00%","1"
"rblxgo132.freecase24.com","Cote d'Ivoire","$0.00","10","$0.00","0","$0.00","0","10","0.00%","0.00%","$0.00","0.00%","0"
"rblxgo132.freecase24.com","Senegal","$0.00","15","$0.00","0","$0.00","0","16","0.00%","0.00%","$0.00","0.00%","0"
"rblxgo132.freecase24.com","Türkiye","$0.00","88","$0.00","4","$0.00","3","76","10.94%","75.00%","$0.00","3.41%","6"
"rblxgo132.freecase24.com","Pakistan","$0.00","188","$0.00","3","$0.00","3","334","1.38%","100.00%","$0.00","1.60%","6"
"rblxgo132.freecase24.com","Honduras","$0.00","49","$0.00","0","$0.00","1","41","0.00%","0.00%","$0.00","2.04%","0"
"rblxgo132.freecase24.com","Bosnia and Herzegovina","$0.00","8","$0.00","0","$0.00","0","8","0.00%","0.00%","$0.00","0.00%","0"
"rblxgo132.freecase24.com","Madagascar","$0.00","5","$0.00","0","$0.00","0","6","0.00%","0.00%","$0.00","0.00%","0"
"rblxgo132.freecase24.com","Cuba","$0.00","2","$0.00","0","$0.00","0","1","0.00%","0.00%","$0.00","0.00%","0"
"rblxgo132.freecase24.com","Albania","$0.00","31","$0.00","1","$0.00","0","41","4.90%","0.00%","$0.00","0.00%","2"
"rblxgo132.freecase24.com","Sint Maarten","$0.00","4","$0.00","0","$0.00","0","5","0.00%","0.00%","$0.00","0.00%","0"
"rblxgo132.freecase24.com","Ukraine","$0.00","5","$0.00","0","$0.00","0","4","0.00%","0.00%","$0.00","0.00%","0"
